chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	K9me3.start	K9me3.end	value
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25880038	25880068	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25880068	25880315	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25880315	25880461	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25880461	25880871	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25880871	25881017	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881017	25881136	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881136	25881182	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881182	25881282	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881282	25881328	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881328	25881566	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881566	25881710	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881710	25881712	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881712	25881856	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881856	25881928	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25881928	25882074	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25882074	25882844	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25882844	25882990	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25882990	25883034	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883034	25883063	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883063	25883180	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883180	25883209	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883209	25883427	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883427	25883573	0.05178
