chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	K27me3.start	K27me3.end	value
chr1	3040000	3060000	1	2	raise	late2cell-8cell	chr1	3051710	3051838	0
chr1	3040000	3060000	1	2	raise	late2cell-8cell	chr1	3051838	3051839	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900004	47900138	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900138	47900209	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900209	47900355	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900355	47900448	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900448	47900594	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900594	47900789	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900789	47900935	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47900935	47901168	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47901168	47901314	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47901314	47901531	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47901531	47901677	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47901677	47901909	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47901909	47902055	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902055	47902066	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902066	47902176	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902176	47902212	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902212	47902322	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902322	47902671	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902671	47902817	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47902817	47903257	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903257	47903346	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903346	47903403	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903403	47903414	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903414	47903454	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903454	47903492	0.16384
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903492	47903560	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903560	47903600	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47903600	47904140	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904140	47904188	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904188	47904286	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904286	47904334	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904334	47904633	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904633	47904689	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904689	47904779	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904779	47904835	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47904835	47905022	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905022	47905105	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905105	47905168	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905168	47905251	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905251	47905497	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905497	47905547	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905547	47905552	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905552	47905643	0.16384
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905643	47905666	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905666	47905693	0.16384
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905693	47905698	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905698	47905777	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905777	47905812	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905812	47905923	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47905923	47906070	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906070	47906091	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906091	47906167	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906167	47906216	0.16384
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906216	47906235	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906235	47906237	0.16384
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906237	47906313	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906313	47906381	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906381	47906419	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906419	47906565	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906565	47906660	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906660	47906797	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906797	47906806	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906806	47906943	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47906943	47907156	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47907156	47907302	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47907302	47908022	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47908022	47908168	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47908168	47909143	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47909143	47909289	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47909289	47910546	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47910546	47910692	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47910692	47911039	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911039	47911185	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911185	47911396	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911396	47911403	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911403	47911542	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911542	47911549	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911549	47911862	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47911862	47912008	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47912008	47912788	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47912788	47912934	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47912934	47916096	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47916096	47916188	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47916188	47916242	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47916242	47916334	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47916334	47917486	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47917486	47917535	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47917535	47917632	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47917632	47917681	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47917681	47918648	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47918648	47918706	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47918706	47918794	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47918794	47918852	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47918852	47919123	0
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47919123	47919159	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47919159	47919269	0.10922
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47919269	47919305	0.05461
chr14	47900000	47920000	2	1	reduce	late2cell-8cell	chr14	47919305	47919414	0
